门店ID,品牌品类,部门(新版),类别描述(新版),日历年(YYYY年),日历周(周一起),直营净零售数量
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W51,6
A00021S112,Metersbonwe品牌,女装,大衣,2017年,2017 W52,23
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W01,14
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W02,9
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W03,6
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W04,6
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W05,20
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W06,34
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W07,17
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W08,16
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W09,3
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W40,1
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W41,1
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W42,11
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W43,12
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W44,10
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W45,25
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W46,15
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W47,20
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W48,19
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W49,9
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W50,7
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W51,19
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2018 W52,11
A00021S112,Metersbonwe品牌,女装,大衣,2018年,2019 W01,6
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W01,16
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W02,16
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W03,28
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W04,31
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W05,17
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W06,14
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W07,4
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W08,3
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W09,6
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W10,1
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W11,1
A00021S112,Metersbonwe品牌,女装,大衣,2019年,2019 W12,2
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W12,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W15,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W18,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W19,3
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W20,5
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W22,7
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W23,3
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W24,5
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W25,8
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W26,7
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W27,3
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W28,2
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W29,4
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W30,0
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W31,2
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W32,4
A00021S112,Metersbonwe品牌,女装,梭织中裤,2017年,2017 W33,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W15,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W16,4
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W17,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W18,8
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W19,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W20,6
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W21,4
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W22,4
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W24,2
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W25,3
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W26,6
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W27,8
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W28,2
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W29,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W30,3
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W31,4
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W32,5
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W33,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W35,2
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W36,2
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W37,3
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W38,5
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W39,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W42,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2018年,2018 W44,3
A00021S112,Metersbonwe品牌,女装,梭织中裤,2019年,2019 W04,-1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2019年,2019 W08,0
A00021S112,Metersbonwe品牌,女装,梭织中裤,2019年,2019 W21,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2019年,2019 W24,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2019年,2019 W26,1
A00021S112,Metersbonwe品牌,女装,梭织中裤,2019年,2019 W27,1
A00021S112,Metersbonwe品牌,女装,梭织半裙,2017年,2017 W19,0
A00021S112,Metersbonwe品牌,女装,梭织半裙,2017年,2017 W21,1
A00021S112,Metersbonwe品牌,女装,梭织半裙,2017年,2017 W23,1
A00021S112,Metersbonwe品牌,女装,梭织半裙,2017年,2017 W24,1
A00021S112,Metersbonwe品牌,女装,梭织半裙,2017年,2017 W26,1
A00021S112,Metersbonwe品牌,女装,梭织半裙,2017年,2017 W27,2
A00021S112,Metersbonwe品牌,女装,梭织半裙,2017年,2017 W30,3
A00021S112,Metersbonwe品牌,女装,梭织半裙,2017年,2017 W34,2
A00021S112,Metersbonwe品牌,女装,梭织半裙,2017年,2017 W35,1
A00021S112,Metersbonwe品牌,女装,梭织半裙,2018年,2018 W05,1
A00021S112,Metersbonwe品牌,女装,梭织半裙,2018年,2018 W06,4
A00021S112,Metersbonwe品牌,女装,梭织半裙,2018年,2018 W07,1
A00021S112,Metersbonwe品牌,女装,梭织半裙,2018年,2018 W08,2
A00021S112,Metersbonwe品牌,女装,梭织半裙,2018年,2018 W09,6
A00021S112,Metersbonwe品牌,女装,梭织半裙,2018年,2018 W10,1
A00021S112,Metersbonwe品牌,女装,梭织半裙,2018年,2018 W11,5
A00021S112,Metersbonwe品牌,女装,梭织半裙,2018年,2018 W13,8
A00021S112,Metersbonwe品牌,女装,梭织半裙,2018年,2018 W14,4
